rank_name	truth_sample	model	snv	level_4	bin	min_score	max_score	n_alleles	tp	fp	fn	cum_alleles	cum_tp	cum_fp	cum_fn	cum_tn	precision	recall	data_type
global_rank	NA12878	RF	False	0	0.0	0.9097005078617172	0.9173004202466639	18	16	0	2	18	16	0	2418	415	1.0	0.00657354149548069	exomes
global_rank	NA12878	RF	False	4	1.0	0.9034395286887051	0.9034395286887051	1	1	0	0	19	17	0	2417	415	1.0	0.006984387838948234	exomes
global_rank	NA12878	RF	False	7	2.0	0.8993070225680602	0.9019848646636509	18	17	1	0	37	34	1	2400	414	0.9714285714285714	0.013968775677896467	exomes
global_rank	NA12878	RF	False	11	3.0	0.8961073220159511	0.8992523567789769	16	14	0	2	53	48	1	2386	414	0.9795918367346939	0.01972062448644207	exomes
global_rank	NA12878	RF	False	15	4.0	0.8928762187590935	0.8956749963423354	25	22	0	3	78	70	1	2364	414	0.9859154929577465	0.02875924404272802	exomes
global_rank	NA12878	RF	False	19	5.0	0.8882560774519489	0.89279992156938	20	15	0	5	98	85	1	2349	414	0.9883720930232558	0.03492193919474117	exomes
global_rank	NA12878	RF	False	23	6.0	0.8806641782978093	0.8871343302736288	49	41	2	6	147	126	3	2308	412	0.9767441860465116	0.051766639276910435	exomes
global_rank	NA12878	RF	False	27	7.0	0.8714737110930202	0.8805940671833279	56	42	0	14	203	168	3	2266	412	0.9824561403508771	0.06902218570254724	exomes
global_rank	NA12878	RF	False	31	8.0	0.8621427524915519	0.8713601595759073	33	28	1	4	236	196	4	2238	411	0.98	0.08052588331963846	exomes
global_rank	NA12878	RF	False	35	9.0	0.8569342022865667	0.8609747582810883	14	9	0	5	250	205	4	2229	411	0.9808612440191388	0.08422350041084635	exomes
global_rank	NA12878	RF	False	39	10.0	0.8548972915771212	0.8565693820209032	25	25	0	0	275	230	4	2204	411	0.9829059829059829	0.09449465899753492	exomes
global_rank	NA12878	RF	False	43	11.0	0.8513364129733192	0.8543014337203688	145	145	0	0	420	375	4	2059	411	0.9894459102902374	0.15406737880032867	exomes
global_rank	NA12878	RF	False	47	12.0	0.8497038137448159	0.8513364129733192	40	38	0	2	460	413	4	2021	411	0.9904076738609112	0.16967953985209533	exomes
global_rank	NA12878	RF	False	51	13.0	0.8468348153688882	0.8493360364741178	22	21	0	1	482	434	4	2000	411	0.9908675799086758	0.17830731306491374	exomes
global_rank	NA12878	RF	False	55	14.0	0.8435338996830251	0.8463682824109631	32	31	0	1	514	465	4	1969	411	0.9914712153518124	0.19104354971240756	exomes
global_rank	NA12878	RF	False	59	15.0	0.840303728911156	0.8434502422856223	220	212	2	6	734	677	6	1757	409	0.9912152269399708	0.27814297452752673	exomes
global_rank	NA12878	RF	False	63	16.0	0.8371417369750361	0.840303728911156	29	29	0	0	763	706	6	1728	409	0.9915730337078652	0.2900575184880855	exomes
global_rank	NA12878	RF	False	67	17.0	0.8346981449708728	0.8370574648708399	29	26	1	2	792	732	7	1702	408	0.9905277401894452	0.30073952341824156	exomes
global_rank	NA12878	RF	False	71	18.0	0.8322025731503658	0.8344413119624421	67	65	1	1	859	797	8	1637	407	0.9900621118012423	0.32744453574363186	exomes
global_rank	NA12878	RF	False	75	19.0	0.8300997090145237	0.832048148481885	216	215	1	0	1075	1012	9	1422	406	0.9911851126346719	0.41577649958915364	exomes
global_rank	NA12878	RF	False	79	20.0	0.826429306944108	0.8299145833507162	40	39	0	1	1115	1051	9	1383	406	0.9915094339622641	0.43179950698438785	exomes
global_rank	NA12878	RF	False	83	21.0	0.8236519263498336	0.8263056088994613	26	26	0	0	1141	1077	9	1357	406	0.9917127071823204	0.44248151191454393	exomes
global_rank	NA12878	RF	False	87	22.0	0.8205055292584809	0.8234765829591467	124	122	0	2	1265	1199	9	1235	406	0.9925496688741722	0.4926047658175842	exomes
global_rank	NA12878	RF	False	91	23.0	0.8171058021516165	0.8202367162008958	49	43	1	5	1314	1242	10	1192	405	0.9920127795527156	0.5102711585866886	exomes
global_rank	NA12878	RF	False	95	24.0	0.8138199067623153	0.8167616605996144	35	32	2	1	1349	1274	12	1160	403	0.9906687402799378	0.5234182415776499	exomes
global_rank	NA12878	RF	False	99	25.0	0.8115281902871019	0.8136352947894289	32	31	0	1	1381	1305	12	1129	403	0.9908883826879271	0.5361544782251438	exomes
global_rank	NA12878	RF	False	103	26.0	0.8085957560171243	0.8110180870102199	31	28	0	3	1412	1333	12	1101	403	0.9910780669144982	0.547658175842235	exomes
global_rank	NA12878	RF	False	107	27.0	0.8060627543991067	0.8085437023465745	17	15	0	2	1429	1348	12	1086	403	0.9911764705882353	0.5538208709942481	exomes
global_rank	NA12878	RF	False	111	28.0	0.8026693909976778	0.8059310761659286	44	43	0	1	1473	1391	12	1043	403	0.9914468995010691	0.5714872637633525	exomes
global_rank	NA12878	RF	False	115	29.0	0.799105765591246	0.8025903551001334	115	111	1	3	1588	1502	13	932	402	0.9914191419141914	0.6170912078882498	exomes
global_rank	NA12878	RF	False	119	30.0	0.7951733158690898	0.7990669803951226	51	48	1	2	1639	1550	14	884	401	0.9910485933503836	0.6368118323746919	exomes
global_rank	NA12878	RF	False	123	31.0	0.7908063571016517	0.7951526051974724	63	63	0	0	1702	1613	14	821	401	0.9913952059004303	0.6626951520131471	exomes
global_rank	NA12878	RF	False	127	32.0	0.7876694649374741	0.7907763837544562	52	47	2	3	1754	1660	16	774	399	0.9904534606205251	0.6820049301561216	exomes
global_rank	NA12878	RF	False	131	33.0	0.7842563707104856	0.787361628287946	53	49	1	3	1807	1709	17	725	398	0.9901506373117034	0.7021364009860313	exomes
global_rank	NA12878	RF	False	135	34.0	0.7812275838230354	0.7841638089101227	33	25	0	8	1840	1734	17	700	398	0.9902912621359223	0.7124075595727198	exomes
global_rank	NA12878	RF	False	139	35.0	0.7774910595137313	0.7810272555311616	15	9	1	5	1855	1743	18	691	397	0.989778534923339	0.7161051766639277	exomes
global_rank	NA12878	RF	False	143	36.0	0.773843404083442	0.7773490703076131	13	7	0	6	1868	1750	18	684	397	0.9898190045248869	0.7189811010682005	exomes
global_rank	NA12878	RF	False	147	37.0	0.7696789830081476	0.7734050149407262	13	12	0	1	1881	1762	18	672	397	0.9898876404494382	0.723911257189811	exomes
global_rank	NA12878	RF	False	151	38.0	0.7665871882219034	0.7688995726461013	14	11	1	2	1895	1773	19	661	396	0.9893973214285714	0.7284305669679539	exomes
global_rank	NA12878	RF	False	155	39.0	0.7631583583197554	0.7659388247849004	18	17	0	1	1913	1790	19	644	396	0.9894969596462134	0.7354149548069022	exomes
global_rank	NA12878	RF	False	159	40.0	0.7599382110350074	0.7626530830899616	20	19	0	1	1933	1809	19	625	396	0.9896061269146609	0.7432210353327855	exomes
global_rank	NA12878	RF	False	163	41.0	0.7561694522787087	0.7596416744846618	15	14	0	1	1948	1823	19	611	396	0.989685124864278	0.7489728841413311	exomes
global_rank	NA12878	RF	False	167	42.0	0.7524058137390575	0.7556944470552275	12	12	0	0	1960	1835	19	599	396	0.9897518878101402	0.7539030402629416	exomes
global_rank	NA12878	RF	False	171	43.0	0.7484232377588739	0.7519065205067849	27	26	1	0	1987	1861	20	573	395	0.9893673577884105	0.7645850451930978	exomes
global_rank	NA12878	RF	False	175	44.0	0.7446819595505342	0.7474986111813664	14	12	1	1	2001	1873	21	561	394	0.9889123548046462	0.7695152013147083	exomes
global_rank	NA12878	RF	False	179	45.0	0.7402870447337777	0.7439541154597392	10	9	1	0	2011	1882	22	552	393	0.9884453781512605	0.7732128184059162	exomes
global_rank	NA12878	RF	False	183	46.0	0.7363648713130482	0.7399890368165308	10	8	1	1	2021	1890	23	544	392	0.9879769994772608	0.7764995891536566	exomes
global_rank	NA12878	RF	False	187	47.0	0.7311187727474081	0.734325570956229	12	10	0	2	2033	1900	23	534	392	0.9880395215808633	0.780608052588332	exomes
global_rank	NA12878	RF	False	191	48.0	0.726875163483519	0.7301340321929155	7	4	0	3	2040	1904	23	530	392	0.9880643487285937	0.7822514379622021	exomes
global_rank	NA12878	RF	False	195	49.0	0.7218487661138625	0.7259257895165049	11	9	0	2	2051	1913	23	521	392	0.9881198347107438	0.7859490550534101	exomes
global_rank	NA12878	RF	False	199	50.0	0.7158433401025012	0.7205169947558526	7	6	0	1	2058	1919	23	515	392	0.9881565396498455	0.7884141331142153	exomes
global_rank	NA12878	RF	False	203	51.0	0.7100424504044801	0.715560531388131	13	11	0	2	2071	1930	23	504	392	0.9882232462877624	0.7929334428923582	exomes
global_rank	NA12878	RF	False	207	52.0	0.7054381832514312	0.7091869421012372	7	6	0	1	2078	1936	23	498	392	0.9882593159775396	0.7953985209531635	exomes
global_rank	NA12878	RF	False	211	53.0	0.6993210638525281	0.7035459197364852	14	12	0	2	2092	1948	23	486	392	0.9883307965499746	0.8003286770747741	exomes
